[]
"['U72200KA2014PTC077849', 'OWESEE CLOUD COMMUNICATIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72502KA2020PTC136188', 'BHAVIKA TECHNOSOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2018PTC113442', 'LIJO AND JACOB MEDIA PARTNERS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2022PTC158603', 'RIGS BUSINESS SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2018PTC111949', 'WIEAW TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC130691', 'NORTCELE SYSTEMS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2015PTC084532', 'PETISOFT TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC152279', 'RENGOVA TECHNOLOGY PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2017PTC106468', 'PLICSOFT SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2022PTC158743', 'LENDING KATALYST PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2017PTC107590', 'APPIFY SYSTEMS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2018PTC109266', 'PINNAPT SYSTEMS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2017PTC104460', 'SILTRA TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC138437', 'CODEVYAS SOFTWARE PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2016PTC085630', 'V2S INFOTECH SERVICES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC150442', 'KREATIVECREW TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2018PTC118966', 'EOOGLO SOFTWARE TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2017PTC102474', 'DABBLE VENTURES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2004PTC034200', 'AGILERE BUSINESS CONSULTING PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC152501', 'ALCHENOMY PRIVATE LIMITED', 'Bangalore', 'Active']"
[]
"['U72200KA2016PTC086020', 'TOWN TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2000PTC028360', 'WEST INFOTECH PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC139155', 'SIBAY TECHNO SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2022PTC165899', 'A1SAAS TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72100KA2020PTC131267', 'ETRUCKERZ TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2005PTC037587', 'JMR SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72501KA2019PTC123060', 'NESTORBIRD PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC150226', 'PINWHOOL TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2018PTC118989', 'YAG TECH TRENDS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72400KA2015PTC084882', 'COMPUHIVE KNOWLEDGE HUB PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC137659', 'PST TECHSOL PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2016PTC096401', 'PFSOFT TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2017PTC104186', 'SINGULARITY DYNAMICS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC139808', 'NOVUM VENTURES CONSULTING PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2000PTC026833', 'ANALOG & DIGITAL SYSTEMS EXPORTS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC136877', 'PAYCRUNCH PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC152084', 'NOZTI TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2018PTC111772', 'SIYACON TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72502KA2018PTC109977', 'TRIPALIVE.ME TECHNOLOGY PRIVATE LIMITED', 'Bangalore', 'Active']"
