[]
"['U72900PN2022PTC217209', 'OUTVYING PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2023PTC217465', 'KITMEK INDIA PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2014PTC153482', 'VISHWAKARMA TECHNOLOGIES & SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2016PTC164699', 'CREVISE TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900MH1997PTC110742', 'INDRAJIT SYSTEMS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2013PTC147513', 'ACE ELECTRONICS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2016PTC164394', 'RABBIT AND TORTOISE TECHNOLOGY SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC213023', 'PRIDEVERSE SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC216888', 'BAYA COMPUTERS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC203991', 'FIBERSOFT INFRANET PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2016PTC166992', 'IOBOT TECHNOLOGIES INDIA PRIVATE LIMITED', 'Pune', 'Active']"
[]
"['U72900PN2017PTC173123', 'SANKALP INFORMATICS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2019PTC187678', 'VESTASPACE TECHNOLOGY PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC199395', 'YOJITO SOFTWARE PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2018PTC177771', 'ODEK APPCRAFT PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC189094', 'HACKBIRD PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC194623', 'APPIOT SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC201490', 'GROWTH HANDS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2021PTC205540', 'UNITERSY MARKETING PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC203412', 'SNERAY IT SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72501PN2017PTC169612', 'DYADIKI TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2018PTC175166', 'STORMI TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72400PN2008PTC132828', 'DYNAMIC CORPORATE SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC189293', 'U4U SOCIOTECH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2014PTC152484', 'MACHBIZZ MARKETERS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC189972', 'PERPIXL RENDERING TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC217421', 'XIN GLOBAL SERVICES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC202150', 'DIGIWIRE FINTECH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2021PTC204997', 'BRAINY MONKEYS TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC198003', 'ALPHAMERO TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2017PTC170612', 'PERAMAL SERVICES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2019PTC184340', 'TECHCOGNITIVES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC206686', 'LIVE WORKS T D PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2019PTC185133', 'HARITI MEDIA AND TECHNOLOGY PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2019PTC184709', 'BRIOZING TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC194961', 'DEWISE LABS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC206117', 'DA SOFTWARE SYSTEMS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC201707', 'TIMMI MULTIMEDIA PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2021PTC200824', 'MINUTUS COMPUTING PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2019PTC185985', 'CEREBLE PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC188866', 'HYPERICLE SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
[]
"['U72200PN2015PTC154769', 'CREEATION SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
