[]
"['U72900WB2022PTC259096', 'HEALISTIC IT SOLUTION PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2019PTC234541', 'INFINIX SOFTWARES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2014PTC202172', 'TECHMONASTIC SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB1995PTC067210', 'DATA SOFT MERCHANDISE PVT LTD', 'Kolkata', 'Active']"
"['U72900WB2019PTC229646', 'OTOMATOR TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2013PTC194307', 'OPTIRUS SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2018PTC226866', 'SPRINRIVER TECHNOLOGY PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2012PTC181975', 'QUADPRO INFOSOFT PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2000PTC091824', 'SAGORE.COM E-SERVICES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC255736', 'ACHROMATIC SOFTWORLD PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2020PTC237771', 'OPPORTUNE VENTURES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2015PTC205530', 'GEE BEE NETWORK PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC244392', 'MYPAN INDIA PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2018PTC227911', 'BABBAGE SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2022PTC252141', 'ZIRCON INFO SERVICES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2000PTC091564', 'ARIHANT COMPUTECH PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2015PTC206070', 'ABP EVENTURES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245065', 'FASTWER TRADERS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2010PTC140804', 'WINDRIS SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC249769', 'VOW ERP SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72212WB1946PTC013416', 'ASSOCIATED MINERALS PVT LTD', 'Kolkata', 'Active']"
"['U72200WB2010PTC141180', 'LEXCELLENT LEGAL ASSOCIATES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72501WB2020PTC240147', 'HYTONE INFOTECH PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2000PTC091445', 'RIGHT SHOPPING PRIVATE LIMITED', 'Kolkata', 'Active']"
[]
"['U72200WB1998PTC086647', 'MNG CONSULTANCIES & INVESTMENTS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2018PTC225200', 'RAJNAND TECHNOLOGY PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB1995PTC067207', 'ELPRO TIE-UP PVT.LTD.', 'Kolkata', 'Active']"
"['U72900WB2017PTC223594', 'MINDKORP TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245272', 'SMOLLERS VYAPAAR PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72501WB2022PTC251086', 'ITS CORE SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2018PTC228063', 'CHATURFOX ECOM PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72100WB2016PTC217777', 'POBI SOLUTIONS AND SERVICES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2015PTC208268', 'S.H MUMTAZUDDIN INFOTECH PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2021PTC249814', 'PARUL TECHNOLOGY PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2019PTC234048', 'DANIC CONSULTANCY PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2019PTC230024', 'FUSAQ TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC250801', 'OCTAZI IT SERVICES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC256426', 'RADHEYSH IT SOLUTION PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2007PTC119979', 'INFO SILICATE SYSTEMS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2010PTC154264', 'INFOGEN IT SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC250142', 'SKOT TECH PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2010PTC144176', 'CLEMATIS SOFTWARE TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
